Series,Current,Min,Max,Average
Start Time,-1.79769e+308
End Time,1.79769e+308
Current Time,1.66615e+09
/imu/data_raw/angular_velocity/x,0.000000,-0.000400,0.000266,-0.000039
/imu/data_raw/angular_velocity/y,0.000000,-0.000666,0.000666,-0.000063
/imu/data_raw/angular_velocity/z,-0.000133,-0.000799,0.000933,-0.000040
/imu/data_raw/angular_velocity_covariance[0;0],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/angular_velocity_covariance[0;1],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/angular_velocity_covariance[0;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/angular_velocity_covariance[1;1],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/angular_velocity_covariance[1;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/angular_velocity_covariance[2;2],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/header/seq,51517.000000,50608.000000,51517.000000,51062.500000
/imu/data_raw/header/stamp,1661578093.825910,1661578083.827872,1661578093.825910,1661578088.827201
/imu/data_raw/linear_acceleration/x,0.002394,-0.074819,0.131681,0.022012
/imu/data_raw/linear_acceleration/y,0.010774,-0.083797,0.197522,0.023651
/imu/data_raw/linear_acceleration/z,4.899730,4.789597,5.048171,4.923282
/imu/data_raw/linear_acceleration_covariance[0;0],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/linear_acceleration_covariance[0;1],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/linear_acceleration_covariance[0;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/linear_acceleration_covariance[1;1],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/linear_acceleration_covariance[1;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/linear_acceleration_covariance[2;2],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/orientation/pitch_deg,-0.194541,-0.250852,-0.178981,-0.219743
/imu/data_raw/orientation/roll_deg,0.273694,0.265702,0.306457,0.285454
/imu/data_raw/orientation/w,-0.562256,-0.562256,-0.561707,-0.561941
/imu/data_raw/orientation/x,0.000061,-0.000061,0.000366,0.000186
/imu/data_raw/orientation/y,0.002930,0.002869,0.003357,0.003138
/imu/data_raw/orientation/yaw_deg,-111.576695,-111.652496,-111.576680,-111.619120
/imu/data_raw/orientation/z,0.826965,0.826965,0.827332,0.827160
/imu/data_raw/orientation_covariance[0;0],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/orientation_covariance[0;1],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/orientation_covariance[0;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/orientation_covariance[1;1],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/orientation_covariance[1;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/orientation_covariance[2;2],0.000000,0.000000,0.000000,0.000000
/odom/header/seq,45553.000000,44754.000000,45553.000000,45148.196721
/odom/header/stamp,1661578093.787910,1661578083.800872,1661578093.787910,1661578088.723849
/odom/pose/covariance[0;0],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[0;1],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[0;2],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[0;3],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[0;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[0;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[1;1],0.001000,0.001000,0.001000,0.001000
/odom/pose/covariance[1;2],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[1;3],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[1;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[1;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[2;2],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/pose/covariance[2;3],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[2;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[2;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[3;3],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/pose/covariance[3;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[3;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[4;4],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/pose/covariance[4;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[5;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/pitch_deg,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/roll_deg,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/w,1.000000,1.000000,1.000000,1.000000
/odom/pose/pose/orientation/x,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/y,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/yaw_deg,0.010052,0.010052,0.010052,0.010052
/odom/pose/pose/orientation/z,0.000088,0.000088,0.000088,0.000088
/odom/pose/pose/position/x,-0.000050,-0.000050,-0.000050,-0.000050
/odom/pose/pose/position/y,-0.000000,-0.000000,-0.000000,-0.000000
/odom/pose/pose/position/z,0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;0],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;1],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;2],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;3],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[1;1],0.001000,0.001000,0.001000,0.001000
/odom/twist/covariance[1;2],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[1;3],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[1;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[1;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[2;2],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/twist/covariance[2;3],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[2;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[2;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[3;3],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/twist/covariance[3;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[3;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[4;4],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/twist/covariance[4;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[5;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/angular/x,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/angular/y,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/angular/z,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/linear/x,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/linear/y,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/linear/z,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/header/seq,52042.000000,51124.000000,52042.000000,51576.760000
/odometry/filtered/header/stamp,1661578093.787910,1661578083.805872,1661578093.787910,1661578088.720950
/odometry/filtered/pose/covariance[0;0],28.331789,27.832658,28.331789,28.078426
/odometry/filtered/pose/covariance[0;1],-0.000159,-0.000159,-0.000153,-0.000156
/odometry/filtered/pose/covariance[0;2],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[0;3],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[0;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[0;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[1;1],28.339228,27.839967,28.339228,28.085799
/odometry/filtered/pose/covariance[1;2],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[1;3],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[1;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[1;5],-0.000000,-0.000000,0.000000,-0.000000
/odometry/filtered/pose/covariance[2;2],0.000001,0.000000,0.000001,0.000000
/odometry/filtered/pose/covariance[2;3],-0.000000,-0.000000,-0.000000,-0.000000
/odometry/filtered/pose/covariance[2;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[2;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[3;3],0.000001,0.000000,0.000001,0.000000
/odometry/filtered/pose/covariance[3;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[3;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[4;4],0.000001,0.000000,0.000001,0.000000
/odometry/filtered/pose/covariance[4;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[5;5],0.000360,0.000000,0.000360,0.000014
/odometry/filtered/pose/pose/orientation/pitch_deg,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/pose/orientation/roll_deg,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/pose/orientation/w,0.999670,0.999670,0.999687,0.999680
/odometry/filtered/pose/pose/orientation/x,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/pose/orientation/y,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/pose/orientation/yaw_deg,2.942651,2.867002,2.942651,2.899351
/odometry/filtered/pose/pose/orientation/z,0.025677,0.025017,0.025677,0.025299
/odometry/filtered/pose/pose/position/x,-0.057978,-0.057980,-0.056988,-0.057485
/odometry/filtered/pose/pose/position/y,-0.059632,-0.059652,-0.058456,-0.059039
/odometry/filtered/pose/pose/position/z,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[0;0],0.000000,0.000000,0.001253,0.000515
/odometry/filtered/twist/covariance[0;1],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[0;2],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[0;3],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[0;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[0;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[1;1],0.000458,0.000298,0.001585,0.000838
/odometry/filtered/twist/covariance[1;2],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[1;3],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[1;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[1;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[2;2],0.000001,0.000000,0.000001,0.000000
/odometry/filtered/twist/covariance[2;3],-0.000000,-0.000000,-0.000000,-0.000000
/odometry/filtered/twist/covariance[2;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[2;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[3;3],0.000001,0.000000,0.000001,0.000000
/odometry/filtered/twist/covariance[3;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[3;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[4;4],0.000001,0.000000,0.000001,0.000000
/odometry/filtered/twist/covariance[4;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[5;5],0.000000,0.000000,0.000927,0.000397
/odometry/filtered/twist/twist/angular/x,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/twist/angular/y,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/twist/angular/z,-0.000000,-0.000053,0.000029,-0.000001
/odometry/filtered/twist/twist/linear/x,-0.000000,-0.001528,-0.000000,-0.000445
/odometry/filtered/twist/twist/linear/y,-0.000393,-0.001808,-0.000186,-0.000774
/odometry/filtered/twist/twist/linear/z,0.000000,0.000000,0.000000,0.000000
